company;reviewId;reviewEditCode;jobDescription;reviewBody;reaction1;reaction2;reaction3;reaction4;country
Apple;f4feb425;fe3db98c;Senior Back-End Developer;"Esse dolor exercitation nostrud non tempor. Esse elit do enim qui ut quis amet. Veniam magna id ex nostrud. Anim minim non incididunt culpa sint. Ea qui sit labore tempor. Incididunt proident magna proident nostrud laborum ex. Laborum enim sint dolore, esse nostrud aliqua fugiat, proident cupidatat nisi voluptate enim in. Nulla commodo dolore veniam laboris tempor.
Officia in aliqua elit tempor sint sit. Quis id veniam et, deserunt aute voluptate laboris. Consequat cillum culpa non. Voluptate nulla duis veniam. Veniam aute aliquip est officia id sit pariatur. Est commodo sunt excepteur tempor ipsum magna ut.
Et ut non quis velit consequat nulla aliquip, voluptate qui consequat commodo ad aliqua commodo. Fugiat aute in adipiscing aliqua aute incididunt aliquip. Lorem veniam sunt commodo magna duis. Consectetur minim minim eiusmod anim, consectetur eiusmod quis duis ullamco in duis eiusmod. Laborum adipiscing enim ullamco. Excepteur excepteur dolor sed, sit aliqua laboris aliquip adipiscing veniam laboris cillum. Non eu culpa elit fugiat minim. Adipiscing laboris esse proident id aliquip, sed eu adipiscing esse elit. Minim deserunt elit nostrud sint, irure enim ullamco anim sunt. Dolor dolor lorem mollit sint exercitation anim mollit, nisi est ea consequat ut anim.";14;2;0;1;de
Apple;a8559409;ac59bf9b;Principal Front-End Developer;"Dolore anim laboris aliqua occaecat reprehenderit esse deserunt. Ex eu id incididunt esse nulla. Lorem ad nisi culpa fugiat, non incididunt cupidatat sed deserunt deserunt. Nisi cillum eiusmod consequat ad incididunt, voluptate pariatur eu officia, labore mollit consequat laborum mollit sit ipsum. Sed anim eiusmod veniam consectetur consectetur, laboris sint voluptate sit.
Velit adipiscing velit voluptate laborum et tempor, nulla reprehenderit labore nisi nisi pariatur, lorem irure amet magna voluptate exercitation nisi ut. Irure do incididunt dolore est qui ad exercitation. Sit ut quis nulla magna do nulla. Consectetur ullamco eiusmod esse exercitation in in. Sed irure laborum fugiat laborum elit, non sint enim aute. Sunt elit aute magna. Enim amet duis do dolor. Voluptate ex elit ea.
Aliquip laborum reprehenderit quis consequat minim elit. Irure sint aliqua ullamco nostrud veniam. Laborum in anim irure sunt, magna laboris lorem mollit nulla ea sed. Pariatur adipiscing sed id incididunt, fugiat et irure fugiat. Enim sint magna reprehenderit ullamco aliqua voluptate, enim officia ipsum esse cupidatat exercitation culpa elit. Consequat veniam commodo adipiscing sit duis officia, deserunt aliqua tempor eu est.";16;2;0;0;no
Spotify;23644dbc;9bef18a8;Junior Cloud Engineer;"Aliquip id sunt dolor enim. Magna enim adipiscing veniam labore. Ullamco duis exercitation enim, sed excepteur consequat laboris dolor commodo. Labore anim sit et minim. Et quis ad id in eu reprehenderit voluptate. Ex ea nulla ad ad consequat labore ex, sit minim est dolor sint ut dolor eu.
Occaecat cupidatat lorem sint ipsum ad commodo laboris. Ad dolore qui duis commodo. Proident excepteur non minim. Consectetur id anim anim ullamco irure irure dolor, nisi culpa in labore in veniam. Exercitation ut lorem id sed minim proident quis.";4;3;0;0;us
King;d64c78a3;d7dcc207;Lead Front-End Developer;"Ea magna deserunt id ipsum cillum. Eiusmod do sint amet enim aliquip dolor. Labore amet deserunt tempor. Do consequat consequat consectetur, tempor dolore anim elit. Ullamco reprehenderit ut sed aliqua ea dolor. Amet et sed minim quis cupidatat nulla, esse qui adipiscing do velit. Ex culpa velit reprehenderit incididunt laboris.
Aliquip exercitation labore labore tempor. Ea laboris in et. Non enim dolor sit quis ad dolor veniam. Veniam aute qui veniam cillum. Pariatur ullamco labore laborum, exercitation do ut ex enim, consectetur dolore pariatur culpa. Deserunt labore deserunt ipsum est officia et nostrud. Enim adipiscing consectetur et ullamco velit.";0;0;4;0;in
Apple;c9dc4377;95c93227;Mid-level Back-End Developer;Duis nulla esse enim id aute. Quis sit irure elit irure duis eu magna. Mollit laborum minim dolor, consequat laborum laborum aliquip incididunt pariatur dolore proident, incididunt voluptate commodo ad. Sit nulla duis irure aute elit aliquip. Reprehenderit id labore sint, sunt sunt reprehenderit anim.;9;0;2;0;jp
Mojang;a742d550;1b0b4b41;Intern Back-End Developer;"Sunt aliqua dolor veniam. Aliqua incididunt in labore consectetur esse velit. Aliquip laborum est lorem et fugiat. Magna duis ut lorem sunt. Voluptate excepteur proident mollit proident sed, cillum enim commodo do culpa. Culpa consectetur laboris est adipiscing sit id mollit, elit exercitation magna commodo ipsum proident. Enim dolore consequat proident. Quis in ex anim occaecat amet dolor non. Mollit qui est laboris dolor, magna cillum fugiat ex adipiscing commodo. Ut esse officia officia.
Eiusmod non id ea fugiat deserunt enim. Aliquip fugiat proident est deserunt, deserunt pariatur reprehenderit irure consectetur pariatur sint, fugiat ad excepteur magna incididunt. Aute anim irure dolore tempor, sed incididunt irure cupidatat nostrud ea. Dolore magna laboris labore excepteur labore non eiusmod. Elit nisi exercitation ad. Consectetur ea dolore duis est. Ad laboris ipsum mollit velit nulla. Ullamco velit proident pariatur non eiusmod nulla. Aliqua sunt labore laboris adipiscing incididunt.";0;0;0;1;ca
Unibet;0d1081f1;20d7c900;Mid-level Cloud Engineer;"Consequat do qui ex sed ex incididunt. Reprehenderit voluptate nulla laborum. Mollit proident aliqua eiusmod sunt. Excepteur dolor ex occaecat, sint aliqua consequat amet eiusmod ad qui. Mollit labore est velit.
Excepteur mollit nostrud veniam tempor ad qui qui. Excepteur quis ut eiusmod. Non irure quis velit ullamco. Qui veniam pariatur incididunt qui ullamco. Duis non ullamco enim officia sit minim lorem, nisi voluptate veniam sint. Elit anim labore quis cillum, ipsum dolore exercitation ex excepteur cillum ut ex. Officia voluptate velit sunt. Ea eiusmod ipsum veniam laboris deserunt non et.";1;0;2;2;cn
Netflix;3b2da560;c874417b;Mid-level Front-End Developer;Cupidatat officia cillum esse occaecat veniam. Ad enim aliqua ullamco fugiat, ad ullamco nisi ad. Consectetur aute qui quis culpa, irure laboris consectetur commodo. Aliqua aliqua mollit sunt tempor. Id veniam adipiscing anim.;0;0;0;1;us
Spotify;865c638c;098e2c42;Junior UX Designer;"Nulla magna velit velit adipiscing. Lorem nisi ullamco ut. Mollit excepteur mollit fugiat aliqua. Deserunt ullamco nostrud in sed ullamco lorem, enim labore mollit adipiscing duis dolore. Officia lorem in nulla exercitation, id laboris cupidatat excepteur ex. Ea adipiscing ullamco nulla pariatur dolor sit voluptate.
Amet culpa consequat et. Excepteur dolor quis tempor ea culpa mollit, ea dolore ad enim, et consectetur cupidatat consectetur. Dolore adipiscing sint voluptate. Anim ipsum est nostrud ut sed culpa anim. Sed deserunt ipsum reprehenderit do, deserunt nisi sit sint. Velit sed consequat laboris lorem cillum. Aliqua aliqua magna ut aute. Exercitation dolor cupidatat elit in sit aute, ad pariatur proident magna deserunt. Dolore ex dolore ad ipsum dolor tempor cillum.";0;0;0;0;ru
Klarna;313ab6c6;cb765fda;Senior Cloud Engineer;Ipsum in excepteur eiusmod ipsum sit. Proident lorem sunt et dolore proident anim duis, nulla exercitation reprehenderit sunt officia. Commodo ipsum ad do commodo, velit ex occaecat laborum fugiat dolor et. Do aliqua officia elit incididunt, ullamco labore adipiscing ullamco officia exercitation et voluptate, labore voluptate aute qui in. Aliquip non culpa occaecat dolor do nisi et, dolor aute lorem deserunt. Officia sed laboris veniam aute. Et proident lorem fugiat. Velit incididunt irure irure adipiscing. Aute mollit in nostrud nulla sed officia proident, ut deserunt id veniam. Nulla mollit nostrud est ullamco, ullamco aliquip esse consequat minim.;0;0;1;2;ca
Mojang;da04f3b2;dcf932a7;Senior QA Developer;Qui irure minim dolore enim fugiat sunt consequat, aute ipsum tempor id. Velit do aliquip esse cupidatat, nisi in ipsum laborum laborum culpa minim, minim laborum do duis esse est exercitation lorem. In laboris ea elit enim nulla aute exercitation. Ad adipiscing officia officia ipsum dolore sed. Est ea esse occaecat eu sit reprehenderit quis. Ea sed ullamco dolore officia nisi non. Amet nulla incididunt in laboris officia lorem magna, exercitation reprehenderit commodo aliqua velit deserunt deserunt ea, nostrud aliqua cupidatat sunt id do. Id adipiscing nostrud laborum eu lorem.;0;0;0;2;in
Unibet;6334f2f4;96718df7;Mid-level QA Developer;Incididunt sit commodo cillum non commodo. Sed excepteur sit esse. Nulla consequat commodo et excepteur do eiusmod. Sunt enim quis ad. Velit ullamco pariatur elit nisi culpa aliquip. Exercitation eu velit sed officia nostrud. In amet sint elit aliqua aliquip, laboris ullamco qui laboris aliquip ullamco excepteur occaecat. Commodo aute irure do culpa. Incididunt enim exercitation irure labore ea. Laborum dolore commodo voluptate ea lorem, occaecat amet et deserunt.;6;0;1;0;ru
Klarna;8dc341f9;df9ef36f;Mid-level DevOps Engineer;"Est ex proident labore nostrud sunt laboris, laboris incididunt ex deserunt reprehenderit reprehenderit excepteur non. Amet ea aliqua est eiusmod adipiscing mollit, velit aliquip qui sunt eu. Elit ipsum irure velit nulla id aute, lorem pariatur culpa nisi. Veniam cillum in ex laborum et nisi mollit, nisi dolore reprehenderit ullamco aute. Amet non minim eiusmod ad non. Qui eu aliquip cillum ullamco et nulla. Reprehenderit officia elit aute consectetur tempor tempor non. Ad labore proident eu ex, consectetur et proident aute laboris fugiat. Sed elit ad voluptate ex consectetur velit. Commodo dolore est qui nostrud ad mollit lorem, anim exercitation laboris occaecat sit id est.
Sit exercitation culpa enim amet ut laboris, amet culpa veniam aliqua officia do nisi anim. Duis ipsum ad lorem eiusmod velit sunt. Voluptate cupidatat enim aliquip aliqua. Nisi sint quis dolor ullamco commodo. Ut mollit quis excepteur deserunt nisi commodo elit, occaecat in esse eiusmod velit occaecat cupidatat. Aliquip do veniam fugiat aute duis adipiscing, tempor id nostrud cillum enim.";0;5;0;1;uk
Spotify;6d4e762f;0c57645e;Senior Front-End Developer;Laboris nostrud cillum aliqua. Amet non ullamco velit qui ad occaecat. Culpa voluptate pariatur nulla quis reprehenderit esse, velit ipsum incididunt deserunt qui. Eu dolore nisi enim nisi minim quis. Laboris nulla ex culpa minim in. In velit lorem deserunt reprehenderit.;0;0;0;0;us
Unibet;5462b7d2;f251b2b9;Senior Cloud Engineer;"Adipiscing nisi nulla ullamco exercitation nostrud. Ut ea sed deserunt fugiat officia veniam sit. Veniam aliqua reprehenderit exercitation dolor aute duis nisi, eiusmod eiusmod eu nisi tempor, laboris incididunt cillum do. Magna ea aliqua aliquip ut. Occaecat reprehenderit occaecat consectetur consequat cupidatat. Laboris ea nulla laborum nostrud velit excepteur. Tempor sint cupidatat adipiscing sunt enim cillum. Labore reprehenderit laboris cupidatat sunt. Culpa veniam laboris excepteur amet laboris. Velit ad voluptate tempor labore labore eiusmod.
Velit ea id cupidatat magna consectetur. Duis minim nulla sunt. Ex qui elit in labore. Sunt mollit esse aute labore. Eu incididunt consectetur eiusmod, ex culpa occaecat in, do dolore ex sed. Aute consectetur et laborum. Eiusmod elit irure ad eiusmod. Aliqua irure magna aliqua est anim esse dolor.
Ipsum est veniam enim sit, cillum quis elit id non nisi quis. Tempor commodo nostrud voluptate mollit veniam in sunt. Id non quis deserunt consequat. Consequat id magna ex officia. Sit nostrud ea aliquip adipiscing id proident. Cillum non nisi et id eu ea nisi. Nulla esse et proident laborum, excepteur est enim excepteur ad. Sunt cupidatat nostrud pariatur sunt exercitation. Officia sint id magna. Sint officia elit sit dolore do.";3;3;0;1;jp
Apple;038ca109;93f30856;Mid-level Back-End Developer;"Commodo id incididunt nulla deserunt tempor. Non laboris amet voluptate ullamco do laborum dolor. Magna aliquip adipiscing mollit dolor in ut do. Culpa pariatur id aute cupidatat incididunt consequat aute. Tempor veniam enim do commodo labore, consectetur nostrud laborum nisi laborum dolore id sed.
Ullamco sunt mollit deserunt. Cillum aute lorem occaecat duis id quis. Ipsum sint duis fugiat enim nostrud commodo. Anim lorem occaecat elit mollit et. Excepteur laboris deserunt nostrud. Culpa sint cupidatat commodo magna consectetur. Incididunt quis ipsum incididunt aute lorem.
Laborum fugiat magna occaecat laborum. Amet reprehenderit pariatur aute adipiscing ex. In ex eu ea minim, aute enim cupidatat officia nisi officia. Lorem nostrud deserunt in minim, in amet voluptate enim exercitation ut duis. Esse aliquip elit consequat adipiscing aliquip, qui incididunt aliquip nulla magna.";8;0;0;1;es
Apple;40551e86;122627db;Principal DevOps Engineer;"Voluptate pariatur magna eiusmod anim. Ipsum incididunt aliquip tempor culpa est. Id culpa fugiat ullamco. Magna ex incididunt consequat ex non. Deserunt non amet et et minim reprehenderit. Irure pariatur amet qui ex irure anim, exercitation fugiat irure quis ad magna sint, est aute nisi in tempor. Velit dolor eu aliquip. Do excepteur in ex amet dolor non veniam.
Id quis veniam magna. Tempor labore ad dolor eiusmod ex magna. Veniam veniam elit laborum occaecat velit cillum laborum. Sunt laboris aliqua veniam minim cupidatat officia sed. Adipiscing ullamco velit cupidatat velit nostrud occaecat eu, non quis ullamco et cillum est, tempor aliquip sit reprehenderit. Pariatur consequat laboris magna irure, quis tempor exercitation incididunt eiusmod elit aliqua. Deserunt dolor laborum sed et amet eiusmod.";0;0;0;0;jp
Spotify;9ee48ebc;9fbd1c9e;Senior Front-End Developer;Nostrud ea dolor non, commodo officia commodo sint ex magna commodo reprehenderit. Qui occaecat fugiat proident sed lorem aute voluptate, magna proident adipiscing excepteur sunt id reprehenderit, aliqua id ut cupidatat id ea commodo. Minim ea dolore tempor reprehenderit, officia quis dolore qui qui. Ipsum dolor officia sint cillum, ex velit velit in, consectetur deserunt consectetur mollit. Sit proident pariatur sunt proident reprehenderit, id do proident est. Sit id lorem eiusmod ea, culpa incididunt mollit mollit amet magna. Velit occaecat reprehenderit ea et incididunt sunt. In in labore enim et. Tempor ea veniam sunt et, veniam excepteur elit minim non enim, adipiscing fugiat fugiat laborum.;0;0;2;1;fi
Mojang;92792a97;e84e7c78;Mid-level HR Officer;"Culpa aliqua officia esse enim, mollit fugiat ad mollit. Aliqua amet velit culpa commodo fugiat esse pariatur. Pariatur laboris mollit reprehenderit. Labore excepteur aute aliquip, est tempor eu in dolor elit. In nulla consectetur anim, duis qui occaecat tempor est incididunt. Adipiscing officia ipsum duis dolore.
Sit sit velit irure excepteur, cupidatat fugiat nulla cillum duis aute, sed sed incididunt ex sed tempor veniam mollit. Culpa officia commodo ea do veniam. Dolore officia exercitation sint ipsum, proident proident laboris mollit commodo anim est proident. Eiusmod id tempor fugiat. Laboris elit tempor mollit nulla, eiusmod irure lorem magna. Dolor voluptate laboris est in nulla.";0;1;2;1;no
Netflix;b859ddf0;a398c954;Lead HR Officer;"Proident anim id minim, ut consectetur magna ut aliquip ad consequat mollit. Incididunt velit nostrud voluptate velit, ex est nulla quis esse eu nulla laborum. Duis ut et nulla occaecat voluptate irure mollit. Dolor labore ipsum dolor consequat incididunt. Ex eiusmod occaecat laborum nostrud. Aliquip quis culpa magna. Sunt proident dolor aliqua nostrud aute labore, mollit deserunt cupidatat aliquip voluptate adipiscing.
Labore sit commodo est, ullamco eiusmod enim anim minim, elit officia lorem labore. Consectetur est consectetur ut pariatur enim aute ex. Quis aliquip pariatur minim reprehenderit proident sunt commodo. Proident ad sunt culpa culpa dolore in ut, amet aliquip pariatur magna qui ea reprehenderit. Do eiusmod aute eiusmod pariatur ea sed nisi. Veniam elit exercitation nulla officia fugiat fugiat ullamco. Velit velit amet sint veniam, consectetur et ullamco velit irure veniam culpa.
Anim ipsum velit dolor laborum. Pariatur id deserunt eiusmod. Culpa proident do est. Sit ipsum deserunt reprehenderit irure, reprehenderit reprehenderit pariatur ipsum irure. Proident nisi consectetur voluptate aute. Reprehenderit qui in incididunt. Consectetur adipiscing pariatur esse incididunt et in deserunt. Culpa veniam qui id et et magna amet, est sed exercitation ea est. Fugiat qui enim consectetur sed.";0;0;0;0;uk
Google;3bad23b4;7b79f076;Mid-level HR Officer;"Reprehenderit eu sunt et ea sint elit. Labore amet excepteur veniam consequat. Sit culpa est nisi. Irure sed non consequat duis, eiusmod amet ea magna laboris dolore sit exercitation. Velit minim deserunt ex nulla laborum eiusmod ad.
Anim enim non velit. Magna sit sit sint. Do reprehenderit lorem ut. Laborum ullamco nostrud commodo, mollit consequat deserunt anim ea ex, laboris duis esse ex in sunt consectetur. Esse reprehenderit do elit sint sed.
Aute eiusmod eu nulla ullamco ea nulla excepteur. Cillum excepteur exercitation adipiscing mollit. Deserunt consequat qui officia. Esse minim velit dolor anim eu dolor. Lorem reprehenderit cupidatat anim, qui pariatur nostrud reprehenderit. Ex excepteur amet occaecat, ipsum mollit sint sint et sed proident. Adipiscing commodo amet esse voluptate anim.";6;4;0;0;se
King;4496c37d;a5eda31c;Mid-level Front-End Developer;Reprehenderit nulla est sed reprehenderit pariatur enim. Cupidatat dolor est reprehenderit sunt minim sit. Aute excepteur reprehenderit culpa eiusmod labore. Officia laborum cillum esse veniam mollit sint ipsum, eiusmod dolor irure aliquip duis. Ex incididunt magna est nostrud, lorem ea ea adipiscing minim deserunt aliquip.;0;0;2;1;jp
Facebook;b786fbad;4609ae02;Mid-level UX Designer;"Nulla commodo excepteur reprehenderit reprehenderit. Pariatur sit sunt ut nulla minim. Et consequat est aliqua amet nulla, cupidatat sint velit consectetur. Cillum nulla aliquip reprehenderit aute elit commodo, adipiscing proident irure cillum. Non sint et commodo eiusmod amet esse.
Veniam elit in veniam tempor. Anim sit sed aute sunt elit quis. Consectetur commodo dolor nisi. Minim consequat veniam aliquip aute sint minim. Sint anim officia anim, quis sed est eu. In qui ex eiusmod excepteur nulla magna magna, eu aliquip fugiat tempor aliqua. Sint exercitation ea culpa aliqua labore ipsum. Ullamco labore aliqua consequat magna velit, cillum fugiat id deserunt nisi esse ipsum id.
Do dolor do excepteur laborum. Ea consequat exercitation in officia irure, culpa ex ut magna dolore elit minim. Aliquip sint sunt non. Tempor occaecat sed fugiat laboris tempor commodo ut, veniam consectetur nostrud voluptate qui cupidatat, sunt nostrud sunt pariatur consectetur. Cupidatat consectetur magna officia laboris dolore enim consequat. Mollit ad non adipiscing ad et dolor.";9;0;1;1;cn
iZettle;d6179e16;9f463906;Junior Mobile Developer;Id pariatur cupidatat officia quis. Consequat reprehenderit consequat cillum. Minim nulla exercitation fugiat. Culpa ipsum deserunt consequat irure ut. Officia cillum occaecat pariatur laborum aliquip. Eu dolore duis quis quis ullamco veniam, nisi laborum pariatur cupidatat excepteur exercitation reprehenderit officia, adipiscing duis duis duis. Sunt laborum sint incididunt enim. Occaecat amet fugiat id et sint nulla mollit, culpa veniam eu est elit laborum proident magna, occaecat pariatur commodo minim. Ex sint sed culpa officia qui consectetur, ut elit sit elit mollit cillum.;12;1;0;0;uk
